Elapsed time(s),ECG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
2284.194,-0.032,17.007,8.846,71,13.38,30.19
2284.258,0.02,17.004,8.843,71,13.37,30.9
2284.323,0.039,17.002,8.841,71,13.37,31.51
2284.387,0.123,16.995,8.84,71,13.37,31.86
2284.452,0.051,16.992,8.836,71,13.37,32.25
2284.516,-0.027,16.99,8.835,71,13.37,32.64
2284.581,-0.012,16.987,8.832,75,13.37,32.93
2284.645,-0.024,16.985,8.831,75,13.37,32.93
2284.71,-0.032,16.981,8.828,75,13.37,32.91
2284.774,0.052,16.981,8.826,75,13.37,32.87
2284.839,-0.052,16.981,8.824,75,13.37,32.78
2284.903,0.164,16.979,8.82,75,13.37,32.62
2284.968,-0.06,16.976,8.816,75,13.37,32.52
2285.032,-0.03,16.97,8.813,75,13.37,32.31
2285.097,0.038,16.962,8.809,75,13.37,32.17
2285.161,0.123,16.958,8.808,78,13.37,31.8
2285.226,0.016,16.952,8.804,78,13.37,31.59
2285.29,-0.042,16.95,8.803,78,13.37,31.39
2285.355,-0.03,16.944,8.8,78,13.37,31.23
2285.419,-0.045,16.936,8.796,78,13.37,31.04
2285.484,-0.057,16.934,8.793,78,13.37,30.72
2285.548,-0.023,16.934,8.795,78,13.37,30.5
2285.613,-0.051,16.928,8.793,78,13.37,30.44
2285.677,0.053,16.924,8.793,78,13.37,30.38
2285.742,0.023,16.922,8.791,78,13.37,30.28
2285.806,-0.038,16.922,8.789,78,13.37,30.22
2285.871,0.014,16.922,8.788,78,13.37,30.15
2285.935,0.126,16.919,8.786,75,13.37,30.1
2286,0.085,16.911,8.783,75,13.37,30.1
2286.065,-0.034,16.904,8.78,75,13.37,30.26
2286.129,-0.034,16.902,8.778,75,13.37,30.13
2286.194,-0.034,16.898,8.778,75,13.37,30.11
2286.258,-0.059,16.894,8.778,75,13.37,29.95
2286.323,-0.031,16.893,8.775,75,13.37,29.95
2286.387,-0.008,16.889,8.775,75,13.37,30.21
2286.452,-0.07,16.885,8.775,75,13.37,30.11
2286.516,0.122,16.88,8.775,75,13.37,30.24
2286.581,-0.058,16.874,8.778,75,13.37,30.56
2286.645,-0.014,16.869,8.779,75,13.37,30.44
2286.71,0.086,16.865,8.781,75,13.37,30.67
2286.774,0.105,16.86,8.785,75,13.37,31.09
2286.839,-0.024,16.858,8.788,75,13.37,31.43
2286.903,-0.032,16.858,8.788,75,13.37,31.7
2286.968,-0.042,16.863,8.791,75,13.37,32.14
2287.032,-0.036,16.861,8.794,75,13.37,32.17
2287.097,0.035,16.855,8.796,75,13.37,32.41
2287.161,-0.067,16.853,8.8,75,13.37,32.54
2287.226,0.151,16.85,8.804,75,13.37,32.82
2287.29,-0.052,16.848,8.805,75,13.37,32.95
2287.355,-0.012,16.851,8.805,75,13.37,32.94
2287.419,0.066,16.848,8.805,82,13.37,32.79
2287.484,0.128,16.847,8.805,82,13.37,32.46
2287.548,0.006,16.847,8.808,82,13.37,32.26
2287.613,-0.033,16.848,8.808,82,13.37,32.04
2287.677,-0.023,16.853,8.809,82,13.37,31.95
2287.742,-0.044,16.855,8.81,82,13.37,31.59
2287.806,-0.053,16.856,8.81,82,13.37,31.29
2287.871,0.034,16.855,8.811,82,13.37,30.91
2287.935,-0.061,16.857,8.813,82,13.37,30.67
2288,0.14,16.858,8.816,82,13.37,30.5
2288.065,-0.065,16.857,8.819,82,13.37,30.39
2288.129,-0.038,16.854,8.82,82,13.37,30.33
2288.194,0.024,16.853,8.821,82,13.37,30.28
2288.258,0.126,16.852,8.824,75,13.37,30.34
2288.323,0.039,16.851,8.825,75,13.37,30.27
2288.387,-0.045,16.848,8.825,75,13.37,30.17
2288.452,-0.031,16.847,8.826,75,13.37,30.13
2288.516,-0.041,16.851,8.828,75,13.37,30.12
2288.581,-0.058,16.856,8.829,75,13.37,29.96
2288.645,-0.049,16.857,8.832,75,13.37,29.94
2288.71,0.015,16.857,8.832,75,13.37,29.85
2288.774,-0.076,16.863,8.835,75,13.37,29.95
2288.839,0.139,16.868,8.835,75,13.37,29.87
2288.903,-0.057,16.872,8.835,75,13.37,29.96
2288.968,-0.024,16.875,8.836,75,13.37,30.04
2289.032,0.058,16.877,8.837,72,13.37,30.21
2289.097,0.137,16.879,8.838,72,13.37,30.55
2289.161,0.022,16.883,8.84,72,13.37,30.57
2289.226,-0.03,16.887,8.84,72,13.37,30.97
2289.29,-0.025,16.889,8.837,72,13.37,31.36
2289.355,-0.037,16.89,8.837,72,13.37,31.64
2289.419,-0.049,16.89,8.838,72,13.37,31.77
2289.484,0.038,16.89,8.84,72,13.37,32.01
2289.548,-0.042,16.892,8.84,72,13.37,32.09
2289.613,0.159,16.892,8.84,72,13.37,32.31
2289.677,-0.04,16.89,8.842,72,13.37,32.4
2289.742,-0.025,16.89,8.842,72,13.37,32.54
2289.806,0.034,16.893,8.842,72,13.37,32.58
2289.871,0.118,16.894,8.842,75,13.37,32.41
2289.935,0.034,16.893,8.841,75,13.37,32.26
2290,-0.043,16.895,8.84,75,13.37,32.06
2290.065,-0.034,16.894,8.84,75,13.37,31.99
2290.129,-0.049,16.898,8.84,75,13.37,31.65
2290.194,-0.062,16.9,8.84,75,13.37,31.28
2290.258,-0.066,16.902,8.837,75,13.37,31.22
2290.323,0.014,16.903,8.836,75,13.37,30.97
2290.387,-0.06,16.904,8.835,75,13.37,30.87
2290.452,0.125,16.904,8.832,75,13.37,30.7
2290.516,-0.062,16.904,8.829,75,13.37,30.65
2290.581,-0.046,16.902,8.83,75,13.37,30.46
2290.645,0.039,16.898,8.826,75,13.37,30.38
2290.71,0.091,16.9,8.824,70,13.37,30.39
2290.774,0.053,16.898,8.821,70,13.37,30.5
2290.839,-0.045,16.895,8.819,70,13.37,30.45
2290.903,-0.033,16.891,8.815,70,13.37,30.39
2290.968,-0.045,16.884,8.811,70,13.37,30.2
2291.032,-0.063,16.88,8.81,70,13.37,30.01
2291.097,-0.068,16.883,8.808,70,13.37,30.03
2291.161,-0.051,16.885,8.805,70,13.37,30.12
2291.226,0.003,16.887,8.803,70,13.37,30.12
2291.29,-0.088,16.885,8.8,70,13.37,30.09
2291.355,0.133,16.88,8.799,70,13.37,30.13
2291.419,-0.065,16.873,8.796,70,13.37,30.14
2291.484,-0.032,16.869,8.793,70,13.37,30.26
2291.548,0.051,16.869,8.79,68,13.37,30.49
2291.613,0.116,16.867,8.786,68,13.37,30.65
2291.677,-0.015,16.865,8.784,68,13.37,30.98
2291.742,-0.045,16.867,8.781,68,13.37,31.25
2291.806,-0.035,16.864,8.778,68,13.37,31.54
2291.871,-0.046,16.859,8.775,68,13.37,31.73
2291.935,-0.052,16.86,8.771,68,13.37,31.93
2292,-0.02,16.857,8.769,68,13.37,32.22
2292.065,0,16.852,8.766,68,13.37,32.43
2292.129,-0.044,16.844,8.764,68,13.37,32.7
2292.194,0.124,16.84,8.761,68,13.37,32.85
2292.258,-0.048,16.836,8.758,68,13.37,32.84
2292.323,0.001,16.838,8.754,68,13.37,32.48
2292.387,0.097,16.833,8.753,72,13.37,32.35
2292.452,0.109,16.824,8.75,72,13.37,32.12
2292.516,-0.025,16.821,8.746,72,13.37,31.93
2292.581,-0.034,16.818,8.745,72,13.37,31.73
2292.645,-0.027,16.817,8.743,72,13.37,31.65
2292.71,-0.051,16.814,8.741,72,13.37,31.33
2292.774,-0.051,16.807,8.738,72,13.37,31.12
2292.839,-0.036,16.803,8.734,72,13.37,30.95
2292.903,0.01,16.802,8.729,72,13.37,30.79
2292.968,-0.077,16.798,8.727,72,13.37,30.65
2293.032,0.134,16.792,8.723,72,13.37,30.67
2293.097,-0.052,16.786,8.719,72,13.37,30.45
2293.161,-0.013,16.78,8.717,72,13.37,30.34
2293.226,0.084,16.777,8.713,70,13.37,30.26
2293.29,0.129,16.777,8.712,70,13.37,30.25
2293.355,-0.013,16.77,8.708,70,13.37,30.17
2293.419,-0.031,16.765,8.706,70,13.37,30.15
2293.484,-0.022,16.76,8.706,70,13.37,30.18
2293.548,-0.043,16.756,8.704,70,13.37,30.09
2293.613,-0.059,16.755,8.702,70,13.37,30.15
2293.677,-0.015,16.751,8.697,70,13.37,30.08
2293.742,-0.005,16.75,8.694,70,13.37,30.04
2293.806,-0.04,16.749,8.692,70,13.37,30.08
2293.871,0.123,16.748,8.689,70,13.37,30.15
2293.935,-0.043,16.749,8.687,70,13.37,30.03
2294,0.001,16.741,8.686,70,13.37,29.87
2294.065,0.106,16.735,8.684,72,13.37,30.06
2294.129,0.127,16.733,8.679,72,13.37,30.28
2294.194,-0.018,16.731,8.677,72,13.37,30.84
2294.258,-0.024,16.73,8.674,72,13.37,31.11
2294.323,-0.025,16.728,8.673,72,13.37,31.54
2294.387,-0.045,16.724,8.671,72,13.37,31.59
2294.452,0.014,16.721,8.669,72,13.37,31.83
2294.516,-0.026,16.719,8.666,72,13.37,32.02
2294.581,0.051,16.715,8.664,72,13.37,32.25
2294.645,0.045,16.709,8.663,72,13.37,32.68
2294.71,-0.043,16.704,8.661,72,13.37,32.79
2294.774,0.012,16.7,8.661,72,13.37,32.82
2294.839,0.105,16.698,8.658,78,13.37,32.72
2294.903,0.071,16.698,8.656,78,13.37,32.61
2294.968,-0.035,16.692,8.655,78,13.37,32.43
2295.032,-0.03,16.686,8.654,78,13.37,32.29
2295.097,-0.034,16.675,8.651,78,13.37,32.12
2295.161,-0.047,16.673,8.651,78,13.37,31.81
2295.226,-0.043,16.673,8.65,78,13.37,31.71
2295.29,0.014,16.672,8.646,78,13.37,31.65
2295.355,-0.094,16.677,8.647,78,13.37,31.49
2295.419,0.137,16.666,8.646,78,13.37,31.4
2295.484,-0.074,16.658,8.645,78,13.37,31.27
2295.548,-0.039,16.658,8.644,78,13.37,30.97
2295.613,0.059,16.657,8.642,75,13.37,30.74
2295.677,0.109,16.653,8.641,75,13.37,30.53
2295.742,-0.027,16.649,8.641,75,13.37,30.45
2295.806,-0.057,16.645,8.65,75,13.37,30.23
2295.871,-0.049,16.643,8.686,75,13.37,30.15
2295.935,-0.069,16.638,8.753,75,13.37,29.83
2296,-0.08,16.639,8.818,75,13.37,29.95
2296.065,-0.006,16.637,8.858,75,13.37,30.13
2296.129,-0.118,16.626,8.874,75,13.37,30.12
2296.194,0.101,16.627,8.887,75,13.37,29.9
2296.258,-0.089,16.621,8.907,75,13.36,29.86
2296.323,-0.057,16.618,8.915,75,13.37,29.41
2296.387,0.038,16.619,8.927,76,13.37,29.37
2296.452,0.115,16.621,8.932,76,13.37,29.69
2296.516,-0.019,16.618,8.936,76,13.37,30.38
2296.581,-0.067,16.614,8.949,76,13.37,30.54
2296.645,-0.07,16.617,8.963,76,13.37,30.67
2296.71,-0.083,16.622,8.979,76,13.37,31.14
2296.774,-0.022,16.629,9.006,76,13.37,31.39
2296.839,-0.09,16.638,9.051,76,13.37,31.67
2296.903,0.047,16.644,9.09,76,13.37,32.32
2296.968,-0.035,16.648,9.118,76,13.37,32.34
2297.032,-0.083,16.651,9.141,76,13.37,32.53
2297.097,-0.012,16.654,9.162,76,13.37,32.48
2297.161,0.075,16.659,9.189,81,13.37,32.39
2297.226,0.014,16.669,9.216,81,13.37,32.49
2297.29,-0.072,16.679,9.249,81,13.37,32.33
2297.355,-0.058,16.691,9.286,81,13.37,32.23
2297.419,-0.055,16.706,9.321,81,13.37,32.06
2297.484,-0.076,16.726,9.343,81,13.37,31.87
2297.548,-0.013,16.747,9.369,81,13.37,31.59
2297.613,-0.055,16.773,9.42,81,13.37,31.23
2297.677,0.016,16.798,9.488,81,13.37,31.11
2297.742,0.007,16.821,9.566,81,13.37,30.87
2297.806,-0.053,16.851,9.635,81,13.37,30.75
2297.871,0.003,16.884,9.704,81,13.37,30.77
2297.935,0.104,16.917,9.772,76,13.37,30.7
2298,0.07,16.956,9.829,76,13.37,30.53
2298.065,-0.049,16.993,9.881,76,13.37,30.07
2298.129,-0.041,17.033,9.917,76,13.36,29.93
2298.194,-0.042,17.079,9.946,76,13.36,29.94
2298.258,-0.059,17.12,9.971,76,13.37,30.2
2298.323,-0.07,17.163,9.995,76,13.37,30.36
2298.387,-0.004,17.207,10.024,76,13.37,30.34
2298.452,-0.067,17.256,10.058,76,13.37,30.09
2298.516,0.068,17.304,10.099,76,13.37,29.83
2298.581,-0.031,17.351,10.139,76,13.37,29.73
2298.645,-0.063,17.396,10.176,76,13.37,29.79
2298.71,-0.004,17.445,10.217,76,13.37,29.79
2298.774,0.107,17.494,10.261,72,13.37,29.8
2298.839,0.058,17.541,10.321,72,13.37,29.93
2298.903,-0.047,17.584,10.388,72,13.37,30.41
2298.968,-0.036,17.629,10.458,72,13.37,30.94
2299.032,-0.038,17.671,10.528,72,13.37,31.28
2299.097,-0.055,17.716,10.602,72,13.37,31.45
2299.161,-0.059,17.761,10.666,72,13.37,31.86
2299.226,0.023,17.81,10.733,72,13.37,32.29
2299.29,-0.05,17.851,10.803,72,13.37,32.6
2299.355,0.153,17.897,10.867,72,13.37,32.81
2299.419,-0.035,17.943,10.934,72,13.36,33.02
2299.484,-0.019,17.99,11.001,72,13.37,33.23
2299.548,0.043,18.042,11.062,72,13.37,33.29
2299.613,0.137,18.091,11.124,72,13.36,33.29
2299.677,0.058,18.146,11.184,72,13.37,33.07
2299.742,-0.024,18.187,11.238,72,13.37,32.82
2299.806,-0.004,18.232,11.286,72,13.36,32.47
2299.871,-0.013,18.275,11.328,72,13.37,32.33
2299.935,-0.025,18.317,11.377,72,13.37,32.03
2300,-0.036,18.366,11.436,72,13.37,31.89
2300.065,-0.042,18.416,11.485,72,13.37,31.75
2300.129,-0.036,18.458,11.522,72,13.37,31.68
2300.194,0.048,18.502,11.557,72,13.37,31.56
2300.258,-0.048,18.549,11.589,72,13.37,31.45
2300.323,0.171,18.593,11.621,72,13.37,31.19
2300.387,-0.04,18.63,11.646,72,13.37,30.96
2300.452,-0.001,18.664,11.676,72,13.37,30.69
2300.516,0.074,18.703,11.705,72,13.37,30.54
2300.581,0.176,18.737,11.72,72,13.37,30.5
2300.645,0.065,18.78,11.742,72,13.37,30.34
2300.71,-0.011,18.81,11.759,72,13.37,30.3
2300.774,0.011,18.845,11.767,62,13.37,30.15
2300.839,-0.008,18.872,11.781,62,13.37,30.04
2300.903,-0.017,18.899,11.797,62,13.37,29.99
2300.968,-0.028,18.918,11.816,62,13.36,29.86
2301.032,-0.039,18.935,11.827,62,13.36,30.13
2301.097,-0.048,18.957,11.835,62,13.36,29.8
2301.161,-0.015,18.979,11.844,62,13.36,29.72
2301.226,-0.011,19.001,11.856,62,13.36,29.43
2301.29,-0.007,19.015,11.865,62,13.36,29.25
2301.355,0.106,19.031,11.866,62,13.36,29.58
2301.419,-0.026,19.043,11.866,62,13.36,29.96
2301.484,0.024,19.051,11.861,62,13.36,30.5
2301.548,0.124,19.062,11.856,60,13.36,30.98
2301.613,0.141,19.075,11.849,60,13.36,31.32
2301.677,-0.008,19.085,11.846,60,13.36,31.68
2301.742,-0.021,19.098,11.837,60,13.36,32.19
2301.806,-0.009,19.11,11.827,60,13.36,32.51
2301.871,-0.022,19.119,11.814,60,13.36,32.75
2301.935,-0.024,19.123,11.798,60,13.36,32.93
2302,-0.017,19.132,11.787,60,13.36,33.26
2302.065,0.038,19.138,11.778,60,13.36,33.4
2302.129,0.021,19.139,11.765,60,13.36,33.55
2302.194,0.08,19.148,11.755,60,13.36,33.56
2302.258,0.104,19.146,11.744,60,13.36,33.5
2302.323,0.002,19.145,11.727,60,13.36,33.3
2302.387,0.045,19.145,11.702,60,13.37,33.33
2302.452,0.157,19.15,11.682,60,13.36,33.05
2302.516,0.132,19.143,11.653,60,13.36,32.97
2302.581,-0.008,19.141,11.624,60,13.36,32.7
2302.645,-0.004,19.13,11.593,67,13.36,32.51
2302.71,-0.009,19.129,11.56,67,13.37,32.19
2302.774,-0.023,19.127,11.525,67,13.36,31.83
2302.839,-0.036,19.118,11.489,67,13.36,31.46
2302.903,-0.038,19.123,11.459,67,13.36,31.31
2302.968,-0.024,19.108,11.43,67,13.36,31.1
2303.032,0.038,19.104,11.399,67,13.37,30.96
2303.097,-0.055,19.096,11.369,67,13.36,30.92
2303.161,0.165,19.081,11.34,67,13.36,30.84
2303.226,-0.025,19.065,11.31,67,13.36,30.57
2303.29,0.013,19.053,11.282,67,13.36,30.45
2303.355,0.103,19.043,11.251,67,13.36,30.22
2303.419,0.181,19.033,11.22,67,13.36,30.68
2303.484,0.021,19.012,11.191,67,13.36,30.33
2303.548,-0.031,18.993,11.16,67,13.36,30.56
2303.613,-0.021,18.978,11.125,64,13.36,30.37
2303.677,-0.034,18.963,11.091,64,13.36,30.33
2303.742,-0.048,18.941,11.059,64,13.36,30.06
2303.806,-0.05,18.929,11.03,64,13.36,30
2303.871,0.012,18.916,10.999,64,13.36,30.07
2303.935,-0.031,18.895,10.974,64,13.36,30.18
2304,0.101,18.878,10.949,64,13.36,30.36
2304.065,0.004,18.863,10.926,64,13.36,30.79
2304.129,-0.023,18.841,10.906,64,13.36,31.13
2304.194,0.032,18.819,10.884,64,13.36,31.53
2304.258,0.145,18.803,10.867,68,13.36,31.86
2304.323,0.105,18.787,10.85,68,13.36,32.27
2304.387,-0.027,18.766,10.835,68,13.36,32.56
2304.452,-0.016,18.749,10.822,68,13.36,32.9
2304.516,-0.02,18.732,10.811,68,13.36,33.11
2304.581,-0.027,18.713,10.802,68,13.36,33.29
2304.645,0.03,18.691,10.795,68,13.36,33.35
2304.71,-0.006,18.669,10.787,68,13.36,33.47
2304.774,0.055,18.649,10.778,68,13.36,33.58
2304.839,0.08,18.631,10.773,68,13.36,33.39
2304.903,-0.02,18.618,10.768,68,13.36,33.24
2304.968,0.029,18.601,10.765,68,13.36,32.89
2305.032,0.136,18.586,10.759,76,13.36,32.67
2305.097,0.104,18.571,10.754,76,13.36,32.44
2305.161,-0.031,18.562,10.753,76,13.36,32.35
2305.226,-0.032,18.546,10.753,76,13.36,32.11
2305.29,-0.023,18.537,10.75,76,13.36,31.89
2305.355,-0.045,18.529,10.748,76,13.36,31.67
2305.419,-0.051,18.521,10.745,76,13.36,31.5
2305.484,-0.006,18.504,10.744,76,13.36,31.13
2305.548,-0.005,18.495,10.74,76,13.36,30.98
2305.613,-0.021,18.479,10.737,76,13.36,30.77
2305.677,0.102,18.465,10.733,76,13.36,30.78
2305.742,-0.04,18.457,10.726,76,13.36,30.58
2305.806,0.007,18.451,10.719,76,13.36,30.58
2305.871,0.113,18.442,10.711,70,13.36,30.65
2305.935,0.12,18.439,10.703,70,13.36,30.55
2306,-0.031,18.433,10.694,70,13.36,30.57
2306.065,-0.041,18.427,10.683,70,13.36,30.56
2306.129,-0.03,18.422,10.674,70,13.36,30.55
2306.194,-0.051,18.412,10.661,70,13.36,30.31
2306.258,-0.056,18.404,10.649,70,13.36,30.27
2306.323,-0.061,18.397,10.637,70,13.36,30.31
2306.387,0.017,18.393,10.626,70,13.36,30.29
2306.452,-0.08,18.379,10.614,70,13.36,30.22
2306.516,0.147,18.369,10.603,70,13.36,30.2
2306.581,-0.065,18.364,10.591,70,13.36,30.38
2306.645,-0.037,18.356,10.579,70,13.36,30.5
2306.71,0.038,18.345,10.566,70,13.36,30.74
2306.774,0.137,18.333,10.554,68,13.36,30.99
2306.839,0.022,18.321,10.539,68,13.36,31.26
2306.903,-0.052,18.31,10.526,68,13.36,31.56
2306.968,-0.036,18.297,10.511,68,13.36,31.81
2307.032,-0.043,18.288,10.498,68,13.36,32.15
2307.097,-0.055,18.277,10.485,68,13.36,32.22
2307.161,-0.034,18.268,10.472,68,13.36,32.56
2307.226,0.006,18.253,10.459,68,13.36,32.66
2307.29,-0.075,18.238,10.444,68,13.36,32.89
2307.355,0.15,18.223,10.43,68,13.36,32.96
2307.419,-0.05,18.215,10.419,68,13.36,32.95
2307.484,-0.015,18.204,10.405,68,13.36,32.8
2307.548,0.073,18.189,10.392,72,13.36,32.64
2307.613,0.121,18.179,10.378,72,13.36,32.43
2307.677,-0.016,18.164,10.365,72,13.36,32.42
2307.742,-0.047,18.143,10.336,72,13.36,32.21
2307.806,-0.036,18.133,10.326,72,13.36,32.2
2307.871,-0.06,18.129,10.317,72,13.36,31.81
2307.935,-0.071,18.116,10.303,72,13.36,31.85
2308,-0.071,18.104,10.287,72,13.36,31.46
2308.065,-0.046,18.097,10.27,72,13.36,31.45
2308.129,0.002,18.09,10.255,72,13.36,31.29
2308.194,-0.075,18.079,10.239,72,13.36,31.14
2308.258,0.14,18.064,10.221,72,13.36,30.81
2308.323,-0.05,18.051,10.203,72,13.36,30.81
2308.387,-0.012,18.042,10.186,72,13.36,30.73
2308.452,0.082,18.03,10.168,66,13.36,30.69
2308.516,0.148,18.02,10.153,66,13.36,30.67
2308.581,-0.005,18.006,10.139,66,13.36,30.65
2308.645,-0.04,17.991,10.125,66,13.36,30.5
2308.71,-0.026,17.978,10.112,66,13.36,30.53
2308.774,-0.04,17.968,10.1,66,13.36,30.34
2308.839,-0.054,17.956,10.089,66,13.36,30.32
2308.903,-0.061,17.944,10.077,66,13.36,30.3
2308.968,-0.03,17.929,10.069,66,13.36,30.28
2309.032,0,17.918,10.062,66,13.36,30.21
2309.097,-0.052,17.911,10.057,66,13.36,30.21
2309.161,0.135,17.902,10.051,66,13.36,30.27
2309.226,-0.045,17.893,10.049,66,13.36,30.42
2309.29,-0.009,17.881,10.046,66,13.36,30.59
2309.355,0.091,17.873,10.043,67,13.36,30.89
2309.419,0.13,17.866,10.043,67,13.36,31.26
2309.484,-0.025,17.858,10.043,67,13.36,31.45
2309.548,-0.048,17.85,10.041,67,13.36,31.78
2309.613,-0.036,17.845,10.039,67,13.36,32.14
2309.677,-0.05,17.841,10.037,67,13.36,32.17
2309.742,-0.034,17.837,10.032,67,13.36,32.31
2309.806,-0.008,17.834,10.028,67,13.36,32.61
2309.871,-0.012,17.832,10.023,67,13.36,32.65
2309.935,-0.013,17.83,10.019,67,13.36,32.78
2310,0.111,17.828,10.013,67,13.36,32.58
2310.065,-0.037,17.823,10.007,67,13.36,32.43
2310.129,0.011,17.817,10.002,67,13.36,32.41
2310.194,0.108,17.805,9.995,72,13.36,32.29
2310.258,0.118,17.804,9.988,72,13.36,32.13
2310.323,-0.023,17.795,9.98,72,13.36,32
2310.387,-0.04,17.789,9.975,72,13.36,31.84
2310.452,-0.027,17.788,9.967,72,13.36,31.74
2310.516,-0.05,17.785,9.96,72,13.36,31.46
2310.581,-0.059,17.778,9.955,72,13.36,31.24
2310.645,-0.058,17.771,9.947,72,13.36,31.17
2310.71,-0.031,17.765,9.942,72,13.36,31.17
2310.774,0.002,17.758,9.94,72,13.36,30.99
2310.839,-0.054,17.753,9.934,72,13.34,30.94
2310.903,0.126,17.747,9.927,72,13.34,30.83
2310.968,-0.05,17.734,9.92,72,13.36,30.84
2311.032,-0.009,17.729,9.915,72,13.36,30.78
2311.097,0.093,17.719,9.91,65,13.36,30.7
2311.161,0.133,17.708,9.902,65,13.36,30.62
2311.226,-0.022,17.699,9.893,65,13.34,30.5
2311.29,-0.043,17.688,9.888,65,13.36,30.42
2311.355,-0.037,17.679,9.88,65,13.34,30.45
2311.419,-0.057,17.669,9.874,65,13.34,30.33
2311.484,-0.07,17.663,9.866,65,13.34,30.29
2311.548,-0.073,17.654,9.858,65,13.34,30.24
2311.613,-0.028,17.651,9.849,65,13.34,30.37
2311.677,-0.037,17.644,9.839,65,13.36,30.31
2311.742,-0.019,17.641,9.829,65,13.36,30.38
2311.806,0.068,17.631,9.819,65,13.36,30.41
2311.871,-0.062,17.621,9.81,65,13.36,30.48
2311.935,-0.017,17.613,9.802,65,13.34,30.45
2312,0.092,17.607,9.794,67,13.34,30.72
2312.065,0.101,17.596,9.784,67,13.34,30.88
2312.129,-0.051,17.59,9.776,67,13.34,31.22
2312.194,-0.063,17.583,9.767,67,13.34,31.55
2312.258,-0.052,17.579,9.761,67,13.34,31.84
2312.323,-0.065,17.57,9.753,67,13.34,31.91
2312.387,-0.072,17.559,9.748,67,13.34,32.09
2312.452,0.002,17.549,9.741,67,13.34,32.25
2312.516,-0.056,17.538,9.733,67,13.34,32.39
2312.581,0.089,17.53,9.726,67,13.34,32.55
2312.645,-0.025,17.519,9.721,67,13.34,32.45
2312.71,-0.051,17.511,9.716,67,13.34,32.44
2312.774,0,17.5,9.711,67,13.34,32.22
2312.839,0.106,17.495,9.708,72,13.34,32.06
2312.903,0.062,17.492,9.706,72,13.34,31.85
2312.968,-0.066,17.485,9.708,72,13.34,31.74
2313.032,-0.058,17.481,9.709,72,13.34,31.58
2313.097,-0.062,17.472,9.714,72,13.34,31.38
2313.161,-0.079,17.47,9.718,72,13.34,31.02
2313.226,-0.086,17.469,9.724,72,13.34,30.76
2313.29,-0.058,17.469,9.732,72,13.34,30.81
2313.355,-0.015,17.465,9.742,72,13.34,30.76
2313.419,-0.092,17.464,9.752,72,13.34,30.56
2313.484,0.11,17.461,9.762,72,13.34,30.46
2313.548,-0.077,17.465,9.772,72,13.36,30.5
2313.613,-0.034,17.464,9.782,72,13.34,30.41
2313.677,0.068,17.465,9.793,69,13.34,30.43
2313.742,0.124,17.472,9.804,69,13.34,30.46
2313.806,-0.037,17.475,9.819,69,13.34,30.4
2313.871,-0.055,17.484,9.831,69,13.34,30.39
2313.935,-0.047,17.495,9.844,69,13.34,30.45
2314,-0.067,17.504,9.854,69,13.34,30.3
2314.065,-0.075,17.513,9.864,69,13.34,30.24
2314.129,-0.028,17.524,9.87,69,13.34,30.21
2314.194,-0.041,17.537,9.878,69,13.34,30.27
2314.258,-0.02,17.547,9.883,69,13.34,30.49
2314.323,0.069,17.558,9.888,69,13.34,30.57
2314.387,-0.057,17.571,9.891,69,13.34,30.74
2314.452,-0.009,17.583,9.891,69,13.34,30.92
2314.516,0.105,17.595,9.89,72,13.34,31.08
2314.581,0.107,17.608,9.889,72,13.34,31.5
2314.645,-0.033,17.62,9.889,72,13.34,31.79
2314.71,-0.03,17.629,9.888,72,13.34,32.04
2314.774,-0.025,17.635,9.885,72,13.34,32.35
2314.839,-0.046,17.642,9.88,72,13.34,32.41
2314.903,0.021,17.65,9.875,72,13.34,32.63
2314.968,-0.043,17.656,9.872,72,13.34,32.74
2315.032,0.056,17.662,9.869,72,13.34,32.78
2315.097,0.022,17.663,9.865,72,13.34,32.55
2315.161,-0.044,17.667,9.86,72,13.34,32.34
2315.226,0.004,17.671,9.855,72,13.34,32.11
2315.29,0.111,17.676,9.85,78,13.34,31.87
2315.355,0.074,17.681,9.844,78,13.34,31.66
2315.419,-0.05,17.686,9.838,78,13.34,31.54
2315.484,-0.043,17.691,9.833,78,13.34,31.33
2315.548,-0.05,17.693,9.828,78,13.34,31.19
2315.613,-0.07,17.693,9.823,78,13.34,30.96
2315.677,-0.075,17.69,9.816,78,13.34,30.76
2315.742,0.013,17.687,9.81,78,13.34,30.69
2315.806,-0.082,17.682,9.804,78,13.34,30.63
2315.871,0.132,17.677,9.798,78,13.34,30.56
2315.935,-0.078,17.675,9.791,78,13.34,30.52
2316,-0.05,17.673,9.786,78,13.34,30.34
2316.065,0.026,17.666,9.776,78,13.34,30.24
2316.129,0.136,17.665,9.768,72,13.34,30.15
2316.194,0.037,17.659,9.764,72,13.34,30.16
2316.258,-0.04,17.656,9.758,72,13.34,30.1
2316.323,-0.034,17.652,9.753,72,13.34,30.11
2316.387,-0.047,17.65,9.746,72,13.34,30.04
2316.452,-0.067,17.644,9.739,72,13.34,30.03
2316.516,-0.037,17.636,9.736,72,13.34,29.98
2316.581,-0.021,17.632,9.731,72,13.34,29.96
2316.645,-0.058,17.619,9.721,72,13.34,29.96
2316.71,0.098,17.614,9.714,72,13.34,30.29
