Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),marker(mV),RESP(mV)
2693.871,-0.172,0.751,13.552,27.015,10.54,29.29
2693.935,-0.019,0.754,13.543,27.036,10.54,29.54
2694,0.164,0.782,13.519,27.06,10.54,29.88
2694.065,0.087,0.647,13.497,27.08,10.54,29.91
2694.129,-0.062,0.712,13.495,27.121,10.54,30.69
2694.194,-0.034,0.756,13.501,27.146,10.54,31.15
2694.258,-0.1,0.769,13.506,27.171,10.54,31.42
2694.323,0.146,0.694,13.515,27.197,10.52,31.47
2694.387,-0.1,0.684,13.528,27.222,10.54,31.64
2694.452,0.017,0.686,13.543,27.247,10.54,31.83
2694.516,0.215,0.666,13.564,27.3,10.52,32.25
2694.581,-0.007,0.653,13.585,27.33,10.52,33.05
2694.645,-0.074,0.772,13.603,27.345,10.52,33.44
2694.71,0.008,0.645,13.629,27.356,10.52,33.69
2694.774,-0.04,0.764,13.673,27.371,10.52,33.76
2694.839,-0.011,0.839,13.725,27.387,10.52,33.39
2694.903,0.135,0.852,13.762,27.406,10.52,33.13
2694.968,0.113,0.875,13.785,27.433,10.54,32.79
2695.032,0.149,0.65,13.798,27.443,10.54,32.41
2695.097,-0.075,0.842,13.789,27.436,10.54,32.38
2695.161,-0.051,0.699,13.762,27.429,10.52,32.45
2695.226,0.008,0.58,13.738,27.414,10.52,32.27
2695.29,-0.101,0.704,13.738,27.407,10.52,32.03
2695.355,0.173,0.754,13.734,27.396,10.52,31.94
2695.419,-0.174,0.622,13.717,27.38,10.52,32.21
2695.484,-0.051,0.655,13.698,27.36,10.52,32.6
2695.548,0.156,0.676,13.68,27.34,10.52,32.77
2695.613,0.071,0.723,13.659,27.324,10.52,32.57
2695.677,-0.107,0.712,13.655,27.304,10.51,32.41
2695.742,-0.054,0.658,13.673,27.284,10.5,32.25
2695.806,-0.133,0.57,13.688,27.263,10.5,32.32
2695.871,0.124,0.671,13.686,27.244,10.5,31.87
2695.935,-0.124,0.546,13.679,27.224,10.52,31.16
2696,-0.02,0.751,13.661,27.203,10.51,31
2696.065,0.187,0.66,13.631,27.193,10.51,30.92
2696.129,-0.057,0.725,13.574,27.167,10.5,30.37
2696.194,-0.112,0.692,13.539,27.147,10.51,30.63
2696.258,-0.032,0.702,13.512,27.132,10.51,30.85
2696.323,-0.09,0.668,13.485,27.114,10.51,30.39
2696.387,-0.076,0.619,13.46,27.1,10.51,30.18
2696.452,0.034,0.554,13.435,27.088,10.51,30.18
2696.516,0.062,0.632,13.414,27.075,10.51,30.01
2696.581,0.14,0.715,13.396,27.063,10.51,30.12
2696.645,-0.091,0.803,13.383,27.061,10.51,30.25
2696.71,-0.054,0.792,13.367,27.049,10.5,30.35
2696.774,-0.095,0.699,13.348,27.033,10.51,30.19
2696.839,0.121,0.658,13.313,26.999,10.51,30.18
2696.903,-0.118,0.554,13.302,26.984,10.52,30
2696.968,-0.003,0.642,13.291,26.973,10.52,30.98
2697.032,0.196,0.689,13.28,26.955,10.52,31.16
2697.097,0.01,0.673,13.272,26.943,10.52,31.64
2697.161,0.023,0.565,13.264,26.933,10.51,31.88
2697.226,-0.065,0.531,13.253,26.93,10.52,32.06
2697.29,0.127,0.513,13.251,26.933,10.52,32.06
2697.355,-0.084,0.702,13.245,26.941,10.52,32.1
2697.419,-0.047,0.678,13.236,26.949,10.52,32.51
2697.484,0.144,0.728,13.22,26.976,10.52,32.3
2697.548,0.107,0.64,13.22,26.999,10.52,31.95
2697.613,-0.019,0.746,13.219,27.024,10.51,32
2697.677,0.004,0.634,13.222,27.039,10.52,31.86
2697.742,-0.148,0.668,13.234,27.055,10.52,31.82
2697.806,0.145,0.671,13.24,27.067,10.52,31.77
2697.871,-0.077,0.601,13.252,27.09,10.52,30.95
2697.935,0.051,0.717,13.273,27.129,10.5,30.65
2698,0.211,0.627,13.286,27.154,10.5,30.38
2698.065,-0.038,0.767,13.301,27.163,10.51,29.93
2698.129,-0.05,0.624,13.318,27.139,10.51,30.38
2698.194,0.041,0.637,13.33,27.122,10.52,31.01
2698.258,-0.114,0.666,13.343,27.173,10.52,31.49
2698.323,0.137,0.681,13.348,27.187,10.52,31.29
2698.387,-0.095,0.562,13.348,27.21,10.54,30.73
2698.452,-0.009,0.684,13.354,27.207,10.52,30.35
2698.516,0.205,0.702,13.363,27.224,10.52,29.9
2698.581,-0.003,0.71,13.375,27.238,10.52,29.77
2698.645,-0.069,0.666,13.389,27.234,10.52,29.92
2698.71,0.039,0.798,13.405,27.235,10.52,30.05
2698.774,-0.075,0.622,13.423,27.237,10.52,30.1
2698.839,-0.107,0.694,13.457,27.242,10.52,30.01
2698.903,-0.019,0.686,13.491,27.248,10.52,29.87
2698.968,0.175,0.57,13.496,27.257,10.51,30.07
2699.032,0.07,0.686,13.476,27.261,10.52,30.35
2699.097,-0.078,0.541,13.458,27.252,10.52,30.52
2699.161,-0.001,0.642,13.452,27.244,10.52,31.33
2699.226,-0.056,0.712,13.458,27.238,10.52,31.73
2699.29,0.051,0.702,13.487,27.222,10.52,31.67
2699.355,-0.066,0.627,13.548,27.214,10.52,31.82
2699.419,-0.075,0.707,13.576,27.216,10.54,32.22
2699.484,0.063,0.749,13.582,27.218,10.54,32.18
2699.548,-0.112,0.842,13.579,27.224,10.54,32.14
2699.613,-0.085,0.629,13.569,27.217,10.52,32.21
2699.677,-0.071,0.596,13.556,27.199,10.54,32.63
2699.742,0.043,0.79,13.541,27.182,10.54,33.08
2699.806,-0.101,0.702,13.515,27.161,10.55,33.7
2699.871,0.101,0.619,13.509,27.184,10.55,34.34
2699.935,0.116,0.671,13.493,27.216,10.54,34.61
2700,-0.092,0.632,13.486,27.23,10.52,34.89
2700.065,-0.048,0.671,13.491,27.25,10.51,34.96
2700.129,-0.003,0.66,13.491,27.253,10.54,35.17
2700.194,-0.17,0.71,13.481,27.265,10.52,35.05
2700.258,0.168,0.663,13.485,27.279,10.54,34.73
2700.323,-0.088,0.715,13.495,27.285,10.52,34.72
2700.387,0.063,0.678,13.485,27.296,10.52,34.72
2700.452,0.187,0.676,13.486,27.298,10.52,35.12
2700.516,-0.054,0.671,13.483,27.304,10.52,34.19
2700.581,-0.083,0.746,13.472,27.307,10.54,33.9
2700.645,0.014,0.749,13.499,27.304,10.52,33.93
2700.71,-0.135,0.673,13.518,27.301,10.54,33.54
2700.774,0.161,0.694,13.55,27.298,10.54,32.95
2700.839,-0.093,0.65,13.58,27.295,10.54,32.46
2700.903,0,0.663,13.597,27.285,10.54,32.39
2700.968,0.192,0.71,13.594,27.281,10.54,31.96
2701.032,-0.036,0.614,13.583,27.271,10.52,31.56
2701.097,-0.094,0.578,13.556,27.262,10.54,32.08
2701.161,-0.096,0.847,13.543,27.259,10.52,32.6
2701.226,-0.012,0.603,13.529,27.244,10.52,32.05
2701.29,-0.013,0.715,13.506,27.254,10.52,31.38
2701.355,-0.097,0.772,13.513,27.253,10.52,31.61
2701.419,0.074,0.792,13.513,27.242,10.52,31.81
2701.484,-0.109,0.655,13.487,27.23,10.52,31.48
2701.548,-0.084,0.686,13.481,27.223,10.52,31.89
2701.613,-0.008,0.712,13.467,27.217,10.51,32.22
2701.677,-0.144,0.746,13.456,27.212,10.51,32.39
2701.742,0.117,0.557,13.449,27.208,10.51,32.43
2701.806,-0.131,0.645,13.441,27.209,10.52,32.31
2701.871,-0.05,0.647,13.439,27.212,10.52,32.28
2701.935,0.195,0.702,13.437,27.217,10.52,32.23
2702,-0.026,0.702,13.435,27.223,10.52,32.2
2702.065,-0.118,0.676,13.44,27.23,10.52,32.34
2702.129,-0.044,0.619,13.442,27.238,10.52,32.7
2702.194,-0.051,0.818,13.446,27.249,10.52,33.2
2702.258,-0.136,0.725,13.455,27.266,10.51,33.41
2702.323,0.124,0.723,13.465,27.283,10.5,33.59
2702.387,-0.083,0.585,13.485,27.297,10.5,34.04
2702.452,0.057,0.8,13.515,27.309,10.49,34.41
2702.516,0.002,0.72,13.536,27.324,10.5,34.76
2702.581,-0.087,0.65,13.55,27.336,10.5,35.24
2702.645,0.014,0.624,13.566,27.35,10.5,35.44
2702.71,-0.136,0.549,13.584,27.361,10.5,35.61
2702.774,0.137,0.803,13.603,27.38,10.5,35.75
2702.839,-0.145,0.73,13.628,27.398,10.49,35.96
2702.903,-0.026,0.655,13.635,27.405,10.5,35.79
2702.968,0.184,0.64,13.631,27.407,10.5,35.68
2703.032,-0.006,0.65,13.634,27.412,10.5,35.62
2703.097,-0.117,0.65,13.64,27.417,10.5,35.76
2703.161,-0.042,0.697,13.645,27.422,10.5,35.62
2703.226,-0.05,0.697,13.645,27.422,10.5,35.42
2703.29,-0.12,0.738,13.643,27.425,10.5,35.24
2703.355,0.113,0.818,13.647,27.426,10.5,35.07
2703.419,-0.096,0.72,13.66,27.427,10.5,34.89
2703.484,0.093,0.603,13.662,27.427,10.5,34.87
2703.548,0.164,0.65,13.664,27.423,10.5,34.68
2703.613,-0.083,0.699,13.662,27.421,10.5,34.43
2703.677,-0.074,0.642,13.661,27.414,10.5,34.54
2703.742,0.029,0.637,13.664,27.408,10.5,34.76
2703.806,-0.113,0.645,13.656,27.402,10.51,34.77
2703.871,0.179,0.681,13.648,27.398,10.5,34.51
2703.935,-0.133,0.596,13.645,27.387,10.51,34.24
2704,-0.013,0.736,13.648,27.381,10.51,34.05
2704.065,0.197,0.852,13.643,27.369,10.51,33.94
2704.129,0.015,0.725,13.64,27.358,10.51,33.87
2704.194,-0.108,0.704,13.627,27.345,10.51,33.94
2704.258,-0.054,0.774,13.62,27.33,10.51,34.24
2704.323,-0.02,0.616,13.62,27.314,10.51,34.6
2704.387,-0.156,0.565,13.604,27.299,10.5,35.02
2704.452,0.152,0.699,13.582,27.284,10.5,35.25
2704.516,-0.023,0.712,13.563,27.271,10.51,35.73
2704.581,0.145,0.539,13.552,27.253,10.51,36.37
2704.645,-0.1,0.619,13.547,27.238,10.51,36.86
2704.71,-0.113,0.697,13.532,27.223,10.51,37.19
2704.774,-0.003,0.769,13.511,27.21,10.5,36.92
2704.839,-0.139,0.795,13.57,27.194,10.5,36.11
2704.903,0.161,0.637,13.579,27.189,10.5,34.75
2704.968,-0.215,0.831,13.567,27.188,10.51,33.63
2705.032,-0.072,0.692,13.538,27.19,10.51,33.29
2705.097,0.156,0.743,13.511,27.198,10.5,33.52
2705.161,-0.009,0.764,13.491,27.21,10.5,33.85
2705.226,-0.131,0.808,13.483,27.224,10.5,33.43
2705.29,-0.063,0.611,13.49,27.241,10.5,33.2
2705.355,-0.05,0.774,13.501,27.264,10.5,33.17
2705.419,0,0.692,13.51,27.286,10.51,32.95
2705.484,-0.139,0.692,13.517,27.311,10.51,32.32
2705.548,0.081,0.645,13.532,27.34,10.51,32.28
2705.613,-0.067,0.71,13.545,27.367,10.51,32.45
2705.677,-0.094,0.723,13.558,27.396,10.5,32.47
2705.742,-0.009,0.616,13.581,27.446,10.51,32.55
2705.806,-0.103,0.588,13.593,27.469,10.5,32.52
2705.871,0.166,0.725,13.624,27.499,10.51,31.89
2705.935,-0.18,0.873,13.64,27.51,10.51,31.83
2706,-0.048,0.733,13.666,27.514,10.51,31.74
2706.065,0.173,0.71,13.689,27.52,10.51,31.74
2706.129,0.043,0.619,13.726,27.533,10.5,31.73
2706.194,-0.09,0.723,13.766,27.546,10.51,31.93
2706.258,-0.039,0.627,13.777,27.553,10.51,32.05
2706.323,0.031,0.559,13.779,27.564,10.51,31.98
2706.387,-0.175,0.754,13.717,27.564,10.51,31.88
2706.452,0.143,0.647,13.68,27.561,10.51,31.6
2706.516,-0.113,0.51,13.65,27.547,10.51,31.36
2706.581,0.03,0.655,13.635,27.534,10.51,31
2706.645,0.207,0.702,13.628,27.528,10.52,30.56
2706.71,-0.035,0.627,13.631,27.519,10.51,30.52
2706.774,-0.074,0.673,13.611,27.519,10.52,30.45
2706.839,-0.085,0.647,13.606,27.511,10.51,30.39
2706.903,0.216,0.609,13.606,27.499,10.51,30.29
2706.968,-0.169,0.663,13.601,27.49,10.51,30.74
2707.032,0.135,0.598,13.599,27.479,10.51,31.23
2707.097,0.065,0.629,13.586,27.469,10.51,31.7
2707.161,-0.091,0.668,13.572,27.446,10.51,32.4
2707.226,-0.003,0.593,13.562,27.43,10.51,32.54
2707.29,-0.02,0.66,13.548,27.416,10.51,32.81
2707.355,-0.091,0.64,13.525,27.388,10.51,33.15
2707.419,0.172,0.754,13.518,27.372,10.51,33.31
2707.484,0.104,0.606,13.504,27.356,10.51,33.72
2707.548,0.14,0.71,13.49,27.343,10.5,33.99
2707.613,-0.067,0.73,13.476,27.327,10.5,33.5
2707.677,-0.02,0.686,13.466,27.314,10.51,33.24
2707.742,0.011,0.653,13.45,27.288,10.5,32.91
2707.806,-0.134,0.603,13.437,27.279,10.5,32.68
2707.871,0.158,0.715,13.43,27.268,10.51,32.08
2707.935,-0.098,0.585,13.419,27.252,10.51,31.66
2708,0.035,0.632,13.409,27.236,10.51,31.65
2708.065,0.2,0.624,13.396,27.219,10.51,31.48
2708.129,-0.048,0.58,13.383,27.204,10.51,31.03
2708.194,-0.072,0.588,13.371,27.189,10.5,30.44
2708.258,0.026,0.65,13.36,27.175,10.51,30
2708.323,-0.078,0.65,13.344,27.159,10.51,29.67
2708.387,0.216,0.676,13.329,27.142,10.5,29.26
2708.452,-0.171,0.64,13.313,27.127,10.5,29.03
2708.516,-0.018,0.583,13.301,27.112,10.5,29.31
2708.581,0.013,0.65,13.289,27.097,10.5,29.39
2708.645,-0.058,0.655,13.277,27.083,10.51,29.47
2708.71,-0.022,0.684,13.265,27.068,10.5,29.55
2708.774,0.011,0.622,13.248,27.055,10.51,29.6
2708.839,-0.135,0.684,13.235,27.044,10.5,29.44
2708.903,0.035,0.803,13.202,27.025,10.5,29.12
2708.968,0.061,0.668,13.187,27.02,10.5,29.12
2709.032,0.223,0.588,13.181,27.018,10.5,28.79
2709.097,-0.035,0.57,13.179,27.017,10.5,28.76
2709.161,-0.051,0.606,13.154,27.019,10.5,29
2709.226,0.032,0.611,13.302,27.026,10.5,29.07
2709.29,-0.088,0.717,13.359,27.036,10.5,29.31
2709.355,0.201,0.712,13.292,27.048,10.5,30.18
2709.419,-0.167,0.694,13.277,27.064,10.5,30.69
2709.484,-0.013,0.629,13.267,27.079,10.5,30.79
2709.548,0.195,0.658,13.256,27.099,10.5,31.04
2709.613,0.031,0.668,13.237,27.116,10.5,31.47
2709.677,-0.092,0.673,13.239,27.135,10.5,31.87
2709.742,0.017,0.645,13.245,27.151,10.5,31.93
2709.806,-0.043,0.629,13.241,27.167,10.5,32.1
2709.871,-0.051,0.609,13.246,27.188,10.5,32.31
2709.935,0.063,0.785,13.252,27.204,10.5,32.49
2710,0.071,0.66,13.264,27.224,10.5,32.69
2710.065,0.139,0.689,13.273,27.239,10.5,33.23
2710.129,-0.068,0.71,13.287,27.254,10.5,33.38
2710.194,-0.054,0.642,13.299,27.268,10.5,33.22
2710.258,0.007,0.746,13.306,27.291,10.49,33.3
2710.323,-0.135,0.723,13.321,27.323,10.49,33.15
2710.387,0.162,0.58,13.326,27.334,10.5,32.61
2710.452,-0.113,0.684,13.33,27.335,10.51,32.43
2710.516,0.004,0.671,13.336,27.338,10.49,32.46
2710.581,0.193,0.64,13.345,27.335,10.49,32.36
2710.645,-0.037,0.73,13.359,27.335,10.44,32.25
2710.71,-0.102,0.673,13.364,27.333,10.43,32.35
2710.774,-0.003,0.593,13.365,27.334,10.43,32.37
2710.839,0.192,0.609,13.37,27.334,10.44,32.28
2710.903,-0.155,0.559,13.381,27.333,10.45,32.07
2710.968,-0.071,0.546,13.39,27.333,10.4,31.61
2711.032,0.14,0.601,13.398,27.336,10.43,31.34
2711.097,0.072,0.64,13.399,27.339,10.46,31.29
2711.161,-0.064,0.666,13.375,27.347,10.51,30.99
2711.226,-0.084,0.733,13.369,27.351,10.51,30.76
2711.29,-0.009,0.689,13.368,27.356,10.45,30.84
2711.355,-0.154,0.689,13.376,27.361,10.45,30.73
2711.419,-0.086,0.728,13.392,27.367,10.46,30.61
2711.484,0,0.704,13.414,27.373,10.45,30.59
2711.548,0.177,0.629,13.447,27.379,10.46,30.35
2711.613,-0.062,0.606,13.49,27.384,10.48,30.08
2711.677,-0.084,0.647,13.518,27.393,10.48,29.45
2711.742,0.005,0.671,13.528,27.395,10.48,29.98
2711.806,-0.076,0.565,13.514,27.388,10.48,30.09
2711.871,0.209,0.567,13.511,27.383,10.48,29.02
2711.935,-0.176,0.598,13.511,27.383,10.49,27.41
2712,-0.046,0.593,13.518,27.383,10.51,26.45
2712.065,0.164,0.637,13.523,27.39,10.51,26.82
2712.129,0.068,0.647,13.527,27.393,10.5,27.81
2712.194,-0.096,0.627,13.535,27.396,10.51,28.82
2712.258,-0.009,0.723,13.544,27.393,10.5,30.06
2712.323,-0.035,0.603,13.558,27.394,10.54,31.8
2712.387,-0.077,0.684,13.579,27.391,10.5,32.68
2712.452,0.166,0.531,13.591,27.388,10.49,33.06
2712.516,0.092,0.502,13.594,27.378,10.5,33.32
2712.581,0.123,0.645,13.591,27.373,10.56,33.59
2712.645,-0.076,0.805,13.589,27.377,10.68,33.72
2712.71,-0.051,0.86,13.585,27.385,10.88,33.67
2712.774,0.045,0.798,13.574,27.361,10.67,33.7
2712.839,-0.064,0.606,13.571,27.358,10.61,33.54
2712.903,0.209,0.746,13.567,27.355,10.84,32.78
2712.968,0.057,0.767,13.557,27.346,10.7,32.02
2713.032,0.239,0.71,13.549,27.34,10.66,31.47
2713.097,-0.013,0.746,13.535,27.331,10.65,31.97
2713.161,0.033,0.637,13.524,27.325,10.61,33.04
2713.226,-0.102,0.808,13.511,27.321,10.59,33.83
2713.29,0.144,0.671,13.512,27.3,10.59,34.14
2713.355,-0.158,0.756,13.542,27.281,10.62,35.34
2713.419,-0.082,0.728,13.532,27.267,10.6,36.12
2713.484,0.101,0.733,13.409,27.243,10.63,37.24
2713.548,-0.118,0.642,13.363,27.239,10.63,37.6
2713.613,-0.228,0.749,13.4,27.23,10.6,37
2713.677,-0.155,0.749,13.452,27.224,10.6,36.59
2713.742,-0.232,0.694,13.478,27.218,10.7,36.62
2713.806,-0.082,0.792,13.45,27.214,10.72,36.71
2713.871,-0.314,0.725,13.402,27.212,10.72,36.6
2713.935,-0.313,0.769,13.382,27.216,10.82,36.51
2714,-0.09,0.842,13.375,27.22,10.89,36.03
2714.065,-0.149,0.795,13.361,27.233,10.84,35.4
2714.129,-0.345,0.943,13.332,27.249,10.89,35.01
2714.194,-0.301,0.956,13.316,27.263,10.91,34.31
2714.258,-0.257,0.87,13.309,27.274,10.91,34.41
2714.323,-0.407,0.938,13.306,27.304,10.74,35.12
2714.387,-0.092,0.842,13.312,27.332,10.71,35.43
2714.452,-0.344,0.995,13.316,27.363,10.74,35.4
2714.516,-0.241,0.899,13.321,27.402,10.71,35.26
2714.581,-0.079,0.808,13.332,27.441,10.81,35.29
2714.645,-0.317,0.704,13.353,27.479,10.87,35.35
2714.71,-0.325,0.989,13.373,27.524,10.87,35.04
2714.774,-0.206,0.707,13.393,27.565,10.91,34.6
2714.839,-0.322,1.235,13.413,27.602,11.01,34.44
2714.903,-0.041,0.878,13.442,27.581,11.04,34.01
2714.968,-0.359,0.798,13.47,27.558,10.99,33.62
2715.032,-0.234,0.782,13.529,27.572,10.98,33.44
2715.097,-0.012,0.896,13.594,27.555,10.98,33.42
2715.161,-0.113,0.805,13.639,27.581,10.99,33.49
2715.226,-0.234,0.883,13.69,27.625,10.98,33.64
2715.29,-0.162,0.761,13.723,27.673,10.94,33.66
2715.355,-0.129,0.862,13.746,27.74,10.95,33.33
2715.419,-0.226,0.798,13.759,27.78,10.99,33.19
2715.484,0.041,0.821,13.774,27.829,10.99,32.92
2715.548,-0.165,0.72,13.786,27.867,10.98,32.84
2715.613,0.043,0.821,13.81,27.9,10.93,33.19
2715.677,-0.102,0.686,13.824,27.925,10.85,34.02
2715.742,-0.102,0.749,13.834,27.955,10.68,34.65
2715.806,-0.001,0.777,13.845,27.964,10.6,35.25
2715.871,-0.181,0.704,13.858,27.965,10.6,35.66
2715.935,-0.068,0.681,13.876,27.999,10.61,36.02
2716,0.032,0.834,13.882,28.02,10.66,36.47
2716.065,0.162,0.785,13.896,28.068,10.68,36.9
2716.129,-0.021,1.173,13.906,28.089,10.68,37.07
2716.194,-0.039,1.176,13.917,28.057,10.71,36.89
2716.258,0.048,0.811,13.931,28.04,10.68,36.88
2716.323,-0.096,0.821,13.94,28.186,10.7,36.89
2716.387,0.169,0.736,13.968,28.276,10.66,36.85
2716.452,-0.07,0.857,14.004,28.25,10.66,37.04
2716.516,0.04,0.891,14.024,28.233,10.66,36.53
2716.581,0.226,0.808,14.034,28.22,10.67,35.62
2716.645,0.029,0.865,14.039,28.226,10.68,35.71
2716.71,-0.011,0.873,14.059,28.226,10.68,36.3
2716.774,0.079,0.85,14.08,28.214,10.66,36.19
2716.839,-0.063,1.072,14.085,28.202,10.67,35.88
2716.903,0.206,0.974,14.109,28.195,10.67,35.64
2716.968,-0.054,0.772,14.14,28.181,10.67,35.43
2717.032,0.047,0.899,14.147,28.166,10.67,35.17
2717.097,0.229,0.798,14.143,28.15,10.67,34.78
2717.161,0.02,0.761,14.138,28.137,10.67,34.46
2717.226,-0.042,0.777,14.14,28.118,10.67,34.42
2717.29,0.022,0.904,14.136,28.103,10.68,34.24
2717.355,-0.147,0.704,14.129,28.088,10.68,33.74
2717.419,0.087,0.852,14.12,28.074,10.68,33.4
2717.484,-0.183,0.606,14.112,28.062,10.68,33.32
2717.548,-0.11,1.101,14.102,28.051,10.67,33.28
2717.613,0.057,0.855,14.091,28.042,10.67,33.32
2717.677,-0.175,1.062,14.08,28.042,10.67,33.27
2717.742,-0.224,0.948,14.067,28.037,10.68,32.82
2717.806,-0.168,1.059,14.055,28.034,10.66,32.64
2717.871,-0.333,0.86,14.044,28.034,10.66,33.07
2717.935,-0.071,0.759,14.035,28.031,10.67,33.81
2718,-0.214,0.865,14.028,28.031,10.68,34.35
2718.065,-0.152,0.857,14.019,28.035,10.68,34.62
2718.129,-0.052,0.93,14.014,28.046,10.67,34.82
2718.194,-0.261,0.837,14.011,28.061,10.67,34.96
2718.258,-0.256,0.772,14.011,28.081,10.67,35.18
2718.323,-0.195,0.792,14.014,28.123,10.67,35.25
2718.387,-0.334,0.834,14.014,28.125,10.67,35.23
2718.452,-0.024,1.007,14.023,28.153,10.67,34.69
2718.516,-0.26,0.886,14.035,28.18,10.67,33.89
2718.581,-0.125,0.782,14.05,28.207,10.67,33.44
2718.645,0.001,0.888,14.066,28.235,10.67,33.5
2718.71,-0.211,0.839,14.081,28.266,10.67,33.85
2718.774,-0.157,0.868,14.103,28.297,10.67,34.08
2718.839,-0.15,1.16,14.126,28.327,10.67,33.63
2718.903,-0.188,0.852,14.154,28.356,10.67,32.75
2718.968,0.001,1.02,14.183,28.384,10.67,32.05
2719.032,-0.156,0.922,14.212,28.404,10.68,32
2719.097,0.015,0.821,14.239,28.426,10.68,32.22
2719.161,0.075,0.759,14.265,28.446,10.68,32.55
2719.226,-0.119,0.824,14.288,28.465,10.67,32.89
2719.29,-0.026,0.878,14.309,28.485,10.66,32.92
2719.355,-0.05,0.73,14.327,28.497,10.66,32.54
2719.419,0.021,0.906,14.342,28.506,10.66,32.16
2719.484,0,0.956,14.357,28.512,10.67,31.94
2719.548,-0.039,0.844,14.367,28.512,10.67,31.67
2719.613,0.141,0.792,14.376,28.51,10.66,31.27
2719.677,0.153,0.785,14.382,28.511,10.67,31.17
2719.742,-0.025,0.899,14.384,28.511,10.67,31.52
2719.806,0.073,0.932,14.384,28.509,10.68,31.88
2719.871,0.256,0.816,14.38,28.509,10.68,32.14
2719.935,0.227,0.888,14.375,28.507,10.68,32.24
2720,-0.047,0.932,14.368,28.501,10.68,32.47
2720.065,0.028,1.085,14.358,28.493,10.68,32.89
2720.129,0.198,0.759,14.351,28.486,10.67,33.16
2720.194,0.164,0.979,14.327,28.47,10.66,33.11
2720.258,0.003,0.831,14.325,28.47,10.66,33.1
2720.323,0.125,0.772,14.313,28.46,10.67,33.03
2720.387,0,0.717,14.302,28.451,10.68,33
2720.452,0.281,0.886,14.289,28.449,10.7,33
2720.516,-0.054,1.321,14.276,28.403,10.7,33.13
2720.581,0.06,1.09,14.263,28.353,10.7,33.09
2720.645,0.238,0.984,14.247,28.321,10.72,32.92
2720.71,0.156,0.821,14.229,28.317,10.73,33.06
2720.774,0.029,0.798,14.22,28.304,10.68,31.83
2720.839,0.121,0.87,14.219,28.313,10.67,31.89
2720.903,0.04,0.945,14.216,28.306,10.67,32.86
2720.968,0.264,1.189,14.213,28.305,10.7,32.55
2721.032,-0.058,0.974,14.208,28.301,10.71,31.58
2721.097,0.058,1.111,14.199,28.292,10.7,30.66
2721.161,0.229,1.225,14.195,28.281,10.67,30.69
2721.226,0.114,0.741,14.189,28.269,10.67,31.33
2721.29,-0.021,1.028,14.183,28.257,10.65,32.02
2721.355,0.065,0.834,14.171,28.243,10.66,32.23
2721.419,-0.084,0.995,14.152,28.228,10.66,32.12
2721.484,0.164,0.772,14.136,28.211,10.67,31.95
2721.548,-0.115,0.756,14.115,28.194,10.66,32.21
2721.613,-0.043,0.922,14.091,28.175,10.62,33.2
2721.677,0.156,0.924,14.081,28.16,10.65,34.27
2721.742,-0.084,0.94,14.063,28.146,10.66,35.56
2721.806,-0.088,0.956,14.011,28.123,10.65,36.37
2721.871,-0.024,0.984,13.968,28.097,10.65,36.5
2721.935,-0.211,1.287,13.947,28.078,10.66,36.88
2722,0.168,1.538,13.984,28.067,10.65,37.47
2722.065,-0.213,0.979,13.997,28.055,10.67,38.21
2722.129,-0.048,1.012,13.998,28.05,10.66,38.25
2722.194,0.122,4.069,14.011,28.031,10.65,38.5
2722.258,-0.149,1.155,14.028,27.945,10.65,38.85
2722.323,-0.109,1.505,14.007,27.754,10.66,39.6
2722.387,-0.041,1.046,13.972,27.808,10.67,39.99
2722.452,-0.108,1.891,13.962,27.873,10.67,39.78
2722.516,0.096,1.551,13.948,27.858,10.67,40.37
2722.581,-0.104,0.984,13.929,28.037,10.68,39.66
2722.645,0.034,1.01,13.907,27.873,10.68,39.02
2722.71,0.131,2.1,13.884,27.879,10.68,39.06
2722.774,-0.124,1.041,13.87,27.861,10.71,38.96
2722.839,-0.026,0.982,13.863,27.888,10.71,39.03
2722.903,-0.049,1.417,13.873,27.74,10.71,38.76
2722.968,-0.005,1.303,13.867,28.819,10.68,37.88
2723.032,0.08,1.815,13.869,0.211,10.71,37.07
2723.097,-0.072,1.709,13.875,-31.636,10.56,36.51
2723.161,0.132,1.067,13.885,-32.206,10.63,35.99
2723.226,0.179,1.753,13.904,-32.1,10.66,35.73
2723.29,-0.045,1.36,13.924,-30.841,10.73,35.95
2723.355,0.025,1.119,13.941,-28.076,10.91,36.34
2723.419,-0.024,1.367,13.961,-28.6,11.29,37.02
2723.484,0.122,2.17,13.981,-28.042,11.48,36.98
2723.548,-0.037,1.16,13.998,-28.005,11.51,37.3
2723.613,0.111,1.681,14.007,-27.997,11.83,38.87
2723.677,0.233,1.663,14.011,-27.989,11.89,39.06
2723.742,0.178,1.168,14.013,-27.996,12.01,39.03
2723.806,-0.025,1.797,14.019,-28.166,11.92,39.04
2723.871,0.067,2.01,14.025,-28.979,11.81,38.82
2723.935,0.036,2.781,14.038,-30.23,11.87,37.06
2724,0.046,-2.233,14.04,-30.285,11.88,36.93
2724.065,0.11,1.097,14.047,-30.759,11.71,36.23
2724.129,-0.065,0.712,14.055,-32.196,11.57,36.01
2724.194,-0.034,-0.249,14.059,0.07,11.6,35.73
2724.258,-0.018,-2.349,14.066,32.496,11.59,35.19
