Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),RESP(mV)
2464.129,0.021,-0.002,2.936,20.551,79,11.39
2464.194,0.02,-0.003,2.936,20.549,79,11.402
2464.258,0.01,-0.003,2.933,20.549,79,11.418
2464.323,0.04,0.002,2.933,20.546,79,11.41
2464.387,-0.402,-0.005,2.933,20.544,79,11.406
2464.452,0.071,-0.002,2.933,20.542,78,11.396
2464.516,0.08,0,2.931,20.54,78,11.388
2464.581,0.05,-0.006,2.931,20.541,78,11.398
2464.645,0.006,-0.014,2.931,20.541,78,11.406
2464.71,0.015,-0.01,2.928,20.541,78,11.402
2464.774,0.01,-0.008,2.928,20.539,78,11.39
2464.839,0.004,-0.004,2.928,20.535,78,11.372
2464.903,0.001,-0.002,2.928,20.532,78,11.352
2464.968,0.001,-0.009,2.928,20.53,78,11.362
2465.032,-0.006,-0.008,2.927,20.525,78,11.376
2465.097,-0.383,-0.003,2.926,20.52,78,11.358
2465.161,0.018,-0.004,2.926,20.512,78,11.306
2465.226,0.048,-0.005,2.926,20.507,78,11.246
2465.29,0.051,0.006,2.924,20.502,78,11.192
2465.355,-0.009,-0.011,2.923,20.501,78,11.124
2465.419,0.005,-0.005,2.924,20.499,85,11.044
2465.484,0.001,-0.008,2.924,20.497,85,10.978
2465.548,-0.005,-0.009,2.923,20.494,85,10.974
2465.613,-0.011,-0.004,2.923,20.494,85,11.024
2465.677,-0.012,-0.004,2.921,20.494,85,11.092
2465.742,-0.027,0,2.921,20.494,85,11.166
2465.806,-0.014,-0.001,2.921,20.492,85,11.212
2465.871,-0.396,-0.005,2.92,20.489,85,11.224
2465.935,0.036,-0.007,2.919,20.489,85,11.236
2466,0.034,-0.002,2.919,20.485,85,11.242
2466.065,-0.019,-0.004,2.919,20.48,85,11.246
2466.129,-0.015,-0.013,2.919,20.478,101,11.246
2466.194,0.003,-0.005,2.916,20.473,101,11.174
2466.258,-0.015,-0.01,2.916,20.47,101,11.142
2466.323,-0.007,0.001,2.915,20.46,101,11.136
2466.387,-0.022,-0.018,2.914,20.459,101,11.162
2466.452,-0.132,0.003,2.914,20.459,101,11.206
2466.516,-0.266,-0.011,2.914,20.457,101,11.24
2466.581,0.041,-0.002,2.914,20.452,101,11.232
2466.645,0.049,-0.006,2.914,20.448,101,11.218
2466.71,0.004,-0.013,2.914,20.445,101,11.202
2466.774,0.004,-0.013,2.914,20.445,101,11.192
2466.839,0.013,-0.009,2.911,20.449,101,11.184
2466.903,0.003,-0.006,2.91,20.448,101,11.178
2466.968,0.004,0.004,2.909,20.445,85,11.09
2467.032,0.006,-0.008,2.909,20.443,85,11.148
2467.097,0.006,-0.003,2.909,20.444,85,11.09
2467.161,-0.412,-0.005,2.909,20.441,85,11.148
2467.226,0.057,-0.004,2.909,20.438,85,11.292
2467.29,0.086,-0.001,2.909,20.433,85,11.322
2467.355,0.087,0,2.907,20.429,85,11.35
2467.419,0.048,-0.012,2.906,20.432,85,11.39
2467.484,0.05,-0.01,2.905,20.429,85,11.428
2467.548,0.046,-0.005,2.904,20.425,85,11.46
2467.613,0.041,-0.003,2.904,20.42,85,11.468
2467.677,0.042,-0.007,2.904,20.414,85,11.462
2467.742,0.037,0.004,2.904,20.407,85,11.468
2467.806,0.026,-0.003,2.901,20.405,85,11.484
2467.871,-0.38,0,2.901,20.403,85,11.498
2467.935,0.064,-0.004,2.9,20.4,85,11.516
2468,0.094,-0.001,2.901,20.399,85,11.54
2468.065,0.079,-0.003,2.899,20.399,85,11.554
2468.129,0.014,-0.012,2.899,20.399,85,11.578
2468.194,0.037,-0.005,2.9,20.398,85,11.612
2468.258,0.03,-0.008,2.899,20.397,85,11.644
2468.323,0.024,-0.002,2.899,20.399,85,11.672
2468.387,0.014,-0.003,2.897,20.403,85,11.694
2468.452,0.013,-0.005,2.896,20.403,85,11.712
2468.516,0.014,-0.009,2.896,20.399,85,11.744
2468.581,0.006,-0.008,2.894,20.394,85,11.762
2468.645,-0.247,0.006,2.895,20.39,85,11.774
2468.71,-0.098,-0.013,2.894,20.386,76,11.794
2468.774,0.068,-0.005,2.894,20.379,76,11.804
2468.839,0.064,-0.001,2.894,20.373,76,11.816
2468.903,0.004,0.004,2.894,20.37,76,11.826
2468.968,0.028,-0.015,2.892,20.37,76,11.838
2469.032,0.042,-0.006,2.891,20.37,76,11.85
2469.097,0.035,-0.008,2.891,20.37,76,11.854
2469.161,0.034,-0.007,2.891,20.366,76,11.852
2469.226,0.034,-0.003,2.89,20.362,76,11.854
2469.29,0.037,-0.005,2.889,20.361,76,11.864
2469.355,0.031,-0.006,2.889,20.357,76,11.866
2469.419,0.066,-0.002,2.889,20.357,76,11.872
2469.484,-0.402,-0.006,2.889,20.356,76,11.884
2469.548,0.096,0.006,2.889,20.352,75,11.892
2469.613,0.102,0,2.889,20.342,75,11.91
2469.677,0.077,-0.001,2.885,20.333,75,11.938
2469.742,0.043,-0.001,2.884,20.334,75,11.962
2469.806,0.041,-0.006,2.884,20.337,75,11.984
2469.871,0.031,-0.008,2.884,20.327,75,11.992
2469.935,0.02,-0.002,2.884,20.317,75,11.996
2470,0.019,-0.004,2.882,20.311,75,12.004
2470.065,0.017,-0.001,2.881,20.307,75,11.976
2470.129,0.002,-0.009,2.88,20.304,75,11.95
2470.194,-0.101,0.002,2.88,20.296,75,11.92
2470.258,0.081,0.002,2.879,20.293,75,11.874
2470.323,0.092,0.001,2.879,20.289,75,11.816
2470.387,0.049,-0.005,2.879,20.288,75,11.756
2470.452,0.029,-0.017,2.879,20.286,75,11.53
2470.516,0.035,-0.009,2.879,20.284,75,11.506
2470.581,0.03,-0.006,2.876,20.28,75,11.484
2470.645,0.021,-0.008,2.876,20.276,75,11.456
2470.71,0.014,0,2.876,20.274,75,11.432
2470.774,0.013,-0.005,2.875,20.271,75,11.422
2470.839,0.012,-0.002,2.874,20.266,75,11.416
2470.903,0.01,-0.004,2.874,20.264,75,11.41
2470.968,-0.352,-0.004,2.874,20.26,75,11.406
2471.032,0.028,-0.006,2.874,20.258,75,11.388
2471.097,0.071,-0.003,2.874,20.253,75,11.376
2471.161,0.001,-0.006,2.872,20.248,75,11.366
2471.226,0.027,-0.008,2.871,20.246,75,11.342
2471.29,0.03,-0.01,2.871,20.243,75,11.33
2471.355,0.017,-0.001,2.87,20.24,75,11.35
2471.419,0.015,-0.001,2.869,20.243,75,11.354
2471.484,0.022,-0.003,2.869,20.243,75,11.342
2471.548,0.015,-0.006,2.869,20.239,75,11.34
2471.613,0.025,-0.011,2.867,20.234,75,11.35
2471.677,-0.366,0,2.866,20.229,75,11.362
2471.742,0.094,-0.002,2.866,20.226,79,11.384
2471.806,0.079,-0.001,2.866,20.221,79,11.422
2471.871,0.025,-0.002,2.866,20.218,79,11.462
2471.935,0.046,-0.007,2.865,20.215,79,11.496
2472,0.043,-0.009,2.864,20.213,79,11.524
2472.065,0.03,-0.008,2.864,20.211,79,11.546
2472.129,0.031,-0.002,2.864,20.211,79,11.56
2472.194,0.034,0.003,2.864,20.208,79,11.572
2472.258,0.02,-0.002,2.861,20.208,79,11.584
2472.323,0.03,-0.009,2.861,20.207,79,11.6
2472.387,-0.4,-0.001,2.861,20.207,79,11.632
2472.452,0.076,-0.007,2.861,20.206,77,11.696
2472.516,0.085,0,2.859,20.203,77,11.782
2472.581,0.078,-0.003,2.859,20.206,77,11.884
2472.645,0.018,-0.011,2.859,20.21,77,11.998
2472.71,0.04,-0.004,2.859,20.22,77,12.11
2472.774,0.044,-0.013,2.859,20.23,77,12.196
2472.839,0.039,-0.001,2.856,20.245,77,12.276
2472.903,0.035,-0.012,2.856,20.263,77,12.34
2472.968,0.031,-0.008,2.856,20.283,77,12.386
2473.032,0.025,-0.002,2.856,20.306,77,12.45
2473.097,0.026,-0.002,2.854,20.328,77,12.446
2473.161,-0.386,0,2.854,20.356,77,12.436
2473.226,0.073,-0.008,2.855,20.384,76,12.448
2473.29,0.084,-0.006,2.855,20.416,76,12.468
2473.355,0.075,0,2.854,20.449,76,12.496
2473.419,0.011,-0.007,2.855,20.482,76,12.544
2473.484,0.028,-0.013,2.855,20.52,76,12.572
2473.548,0.027,-0.007,2.856,20.551,76,12.578
2473.613,0.026,0,2.857,20.58,76,12.562
2473.677,0.023,0.001,2.859,20.609,76,12.53
2473.742,0.024,-0.002,2.859,20.637,76,12.504
2473.806,0.021,-0.005,2.861,20.665,76,12.46
2473.871,0.018,-0.008,2.864,20.691,76,12.48
2473.935,-0.38,0.001,2.865,20.716,76,12.46
2474,0.059,-0.004,2.869,20.76,76,12.48
2474.065,0.073,-0.001,2.872,20.778,76,12.822
2474.129,0.012,-0.007,2.874,20.799,76,12.958
2474.194,0.033,-0.015,2.877,20.814,76,13.114
2474.258,0.027,-0.003,2.879,20.829,76,13.266
2474.323,0.033,-0.007,2.88,20.851,76,13.406
2474.387,0.027,-0.001,2.885,20.847,76,13.492
2474.452,0.016,0,2.885,20.854,76,13.574
2474.516,0.018,-0.014,2.889,20.869,76,13.654
2474.581,-0.019,-0.013,2.89,20.875,76,13.746
2474.645,0.078,-0.001,2.892,20.883,76,13.834
2474.71,0.057,-0.002,2.894,20.892,76,13.856
2474.774,-0.007,-0.007,2.894,20.899,76,13.868
2474.839,0.03,-0.013,2.895,20.902,96,13.854
2474.903,0.035,-0.006,2.899,20.889,96,13.816
2474.968,0.023,-0.004,2.899,20.875,96,13.774
2475.032,0.004,-0.003,2.899,20.873,96,13.744
2475.097,0.009,-0.006,2.901,20.874,96,13.718
2475.161,-0.38,-0.002,2.904,20.872,96,13.696
2475.226,0.036,-0.009,2.904,20.87,96,13.662
2475.29,0.085,-0.006,2.907,20.868,96,13.618
2475.355,0.082,0,2.909,20.87,96,13.59
2475.419,0.012,-0.008,2.909,20.875,96,13.566
2475.484,0.012,-0.009,2.909,20.874,96,13.534
2475.548,0.022,-0.002,2.91,20.861,96,13.49
2475.613,0.015,-0.005,2.909,20.851,96,13.456
2475.677,0.008,-0.002,2.91,20.844,96,13.434
2475.742,-0.003,-0.004,2.911,20.838,96,13.43
2475.806,0.014,-0.008,2.912,20.829,96,13.446
2475.871,-0.393,-0.006,2.914,20.818,96,13.48
2475.935,0.054,-0.009,2.914,20.816,96,13.518
2476,0.059,-0.006,2.915,20.815,96,13.524
2476.065,0.047,-0.001,2.914,20.808,96,13.506
2476.129,0.001,-0.011,2.916,20.802,96,13.512
2476.194,0.026,-0.013,2.915,20.796,86,13.534
2476.258,0.027,-0.004,2.916,20.791,86,13.562
2476.323,0.025,0.003,2.916,20.782,86,13.586
2476.387,0.021,-0.001,2.916,20.772,86,13.562
2476.452,0.013,-0.002,2.916,20.763,86,13.536
2476.516,0.041,-0.006,2.919,20.754,86,13.524
2476.581,-0.397,-0.01,2.917,20.742,86,13.512
2476.645,0.064,-0.009,2.916,20.734,86,13.522
2476.71,0.066,-0.008,2.916,20.725,86,13.554
2476.774,0.035,-0.004,2.916,20.705,86,13.598
2476.839,0.032,-0.007,2.916,20.701,86,13.61
2476.903,0.025,-0.002,2.916,20.691,86,13.598
2476.968,0.022,-0.004,2.916,20.681,86,13.578
2477.032,0.019,-0.007,2.915,20.67,86,13.598
2477.097,0.01,0.004,2.914,20.658,86,13.616
2477.161,0.039,-0.003,2.914,20.649,86,13.624
2477.226,-0.377,-0.001,2.914,20.64,86,13.642
2477.29,0.07,-0.01,2.912,20.614,86,13.646
2477.355,0.034,-0.001,2.911,20.599,86,13.668
2477.419,0.002,-0.009,2.911,20.592,86,13.666
2477.484,0.033,-0.01,2.909,20.585,83,13.598
2477.548,0.037,-0.006,2.909,20.577,83,13.542
2477.613,0.04,-0.01,2.909,20.568,83,13.506
2477.677,0.045,0,2.907,20.552,83,13.468
2477.742,0.045,0,2.907,20.552,83,13.408
2477.806,0.038,-0.005,2.904,20.54,83,13.362
2477.871,-0.067,-0.003,2.905,20.535,80,13.32
2477.935,0.11,-0.003,2.904,20.53,80,13.278
2478,0.117,-0.004,2.905,20.523,80,13.224
2478.065,0.059,-0.003,2.904,20.517,80,13.182
2478.129,0.052,-0.019,2.902,20.514,80,13.152
2478.194,0.055,-0.007,2.901,20.51,80,13.126
2478.258,0.051,-0.007,2.9,20.502,80,13.07
2478.323,0.044,-0.003,2.899,20.492,80,13
2478.387,0.035,-0.006,2.899,20.485,80,12.958
2478.452,0.024,-0.006,2.897,20.475,80,12.956
2478.516,-0.226,0.01,2.896,20.465,80,13.02
2478.581,-0.108,-0.009,2.896,20.455,76,13.094
2478.645,0.084,-0.002,2.894,20.448,76,13.09
2478.71,0.085,-0.005,2.894,20.443,76,13.036
2478.774,0.037,0.001,2.892,20.44,76,12.992
2478.839,0.03,-0.011,2.891,20.436,76,12.972
2478.903,0.027,-0.006,2.889,20.43,76,12.906
2478.968,0.019,-0.003,2.889,20.429,76,12.942
2479.032,0.005,-0.006,2.889,20.428,76,12.954
2479.097,0.005,-0.006,2.887,20.427,76,12.95
2479.161,-0.005,-0.004,2.886,20.427,76,12.91
2479.226,0.001,-0.005,2.886,20.427,76,12.882
2479.29,-0.384,0,2.884,20.429,76,12.854
2479.355,0.03,0,2.884,20.429,76,12.862
2479.419,0.047,-0.005,2.885,20.429,76,12.926
2479.484,0.029,-0.006,2.884,20.427,76,12.986
2479.548,-0.02,-0.009,2.884,20.425,76,13.064
2479.613,0.016,-0.014,2.881,20.422,103,13.126
2479.677,0.024,-0.007,2.881,20.419,103,13.11
2479.742,0.022,-0.005,2.881,20.417,103,13.026
2479.806,0.024,-0.007,2.88,20.413,103,12.992
2479.871,0.029,-0.001,2.879,20.411,103,13.024
2479.935,0.019,-0.004,2.879,20.408,103,13.098
2480,0.032,-0.003,2.879,20.403,103,13.16
2480.065,-0.397,-0.001,2.876,20.39,103,13.218
2480.129,0.088,-0.002,2.876,20.386,79,13.212
2480.194,0.031,-0.011,2.876,20.385,79,13.168
2480.258,0.05,-0.015,2.874,20.382,79,13.052
2480.323,0.051,-0.005,2.874,20.377,79,13.058
2480.387,0.039,-0.004,2.874,20.368,79,13.036
2480.452,0.039,-0.004,2.874,20.368,79,12.982
2480.516,0.04,-0.003,2.87,20.356,79,12.992
2480.581,-0.377,0.001,2.871,20.351,79,13.024
2480.645,0.09,-0.002,2.869,20.345,76,13.036
2480.71,0.114,0,2.869,20.338,76,13.044
2480.774,0.118,0,2.869,20.334,76,13.068
2480.839,0.054,-0.009,2.869,20.328,76,13.068
2480.903,0.063,-0.005,2.867,20.322,76,13.042
2480.968,0.063,-0.005,2.867,20.322,76,12.992
2481.032,0.054,-0.009,2.866,20.316,76,12.726
2481.097,0.045,0,2.865,20.311,76,12.694
2481.161,0.039,-0.006,2.865,20.305,76,12.726
2481.226,0.033,-0.003,2.864,20.301,76,12.694
2481.29,-0.283,0.002,2.862,20.296,76,12.632
2481.355,-0.017,-0.006,2.861,20.291,75,12.594
2481.419,0.104,-0.009,2.861,20.288,75,12.57
2481.484,0.114,0.006,2.859,20.283,75,12.548
2481.548,0.067,-0.009,2.859,20.278,75,12.506
2481.613,0.057,-0.011,2.859,20.278,75,12.468
2481.677,0.051,-0.003,2.859,20.275,75,12.426
2481.742,0.049,-0.005,2.859,20.271,75,12.346
2481.806,0.048,-0.006,2.859,20.266,75,12.314
2481.871,0.032,-0.006,2.857,20.263,75,12.28
2481.935,-0.207,0.002,2.856,20.26,75,12.238
2482,-0.093,-0.011,2.856,20.255,83,12.198
2482.065,0.085,-0.007,2.855,20.251,83,12.17
2482.129,0.086,0,2.854,20.246,83,12.174
2482.194,0.038,0.003,2.854,20.243,83,12.19
2482.258,0.035,-0.016,2.852,20.24,83,12.176
2482.323,0.045,-0.005,2.851,20.239,83,12.17
2482.387,0.036,-0.006,2.851,20.234,83,12.17
2482.452,0.035,0.002,2.849,20.229,83,12.148
2482.516,0.026,-0.008,2.849,20.224,83,12.108
2482.581,0.058,0.004,2.849,20.22,83,12.094
2482.645,-0.35,0.003,2.849,20.215,83,12.046
2482.71,0.092,-0.009,2.847,20.209,90,11.986
2482.774,0.093,-0.005,2.846,20.206,90,11.998
2482.839,0.062,-0.006,2.846,20.202,90,0
2482.903,0.038,-0.016,2.846,20.201,90,0
2482.968,0.051,-0.003,2.846,20.198,90,12.106
2483.032,0.043,-0.002,2.844,20.194,90,12.128
2483.097,0.036,-0.013,2.842,20.192,90,12.136
2483.161,0.032,0.005,2.841,20.189,90,12.168
2483.226,0.033,-0.006,2.841,20.184,90,12.212
2483.29,-0.346,-0.009,2.841,20.182,90,12.294
2483.355,0.07,-0.012,2.841,20.181,90,12.338
2483.419,0.071,0.002,2.841,20.182,90,12.372
2483.484,0.042,-0.002,2.841,20.179,90,12.384
2483.548,-0.007,-0.008,2.84,20.177,90,12.392
2483.613,0.026,-0.01,2.839,20.172,126,12.4
2483.677,0.021,0.002,2.839,20.167,126,12.43
2483.742,0.012,-0.008,2.839,20.166,126,12.458
2483.806,0.01,-0.003,2.839,20.161,126,12.392
2483.871,0,-0.005,2.837,20.155,126,12.282
2483.935,-0.205,-0.001,2.836,20.152,126,12.18
2484,-0.127,-0.018,2.836,20.147,126,12.136
2484.065,0.069,-0.013,2.839,20.144,126,12.12
2484.129,0.052,0,2.835,20.144,126,12.114
2484.194,0.001,-0.003,2.834,20.147,126,12.14
2484.258,0.004,-0.01,2.834,20.147,89,12.172
2484.323,0.013,-0.009,2.833,20.142,89,12.176
2484.387,0.013,0.002,2.833,20.136,89,12.036
2484.452,0.011,0.001,2.832,20.137,89,12.064
2484.516,0.008,-0.01,2.832,20.137,89,12.092
2484.581,0.017,-0.007,2.83,20.128,89,12.102
2484.645,-0.384,-0.003,2.83,20.121,89,12.104
2484.71,0.063,-0.009,2.829,20.115,89,12.132
2484.774,0.086,-0.003,2.829,20.11,89,12.138
2484.839,0.083,-0.001,2.829,20.105,89,12.108
2484.903,0.029,-0.009,2.828,20.105,89,12.052
2484.968,0.038,-0.013,2.827,20.11,89,12.048
2485.032,0.038,-0.008,2.827,20.109,89,12.046
2485.097,0.035,-0.002,2.827,20.106,89,12.038
2485.161,0.04,-0.003,2.825,20.101,89,11.986
2485.226,0.033,0,2.824,20.097,89,11.932
2485.29,0.038,-0.008,2.824,20.091,89,11.93
2485.355,-0.366,-0.003,2.823,20.09,89,11.938
2485.419,0.083,-0.003,2.822,20.087,87,11.964
2485.484,0.097,0.004,2.822,20.085,87,11.972
2485.548,0.087,-0.002,2.822,20.082,87,12.01
2485.613,0.044,-0.016,2.822,20.082,87,12.038
2485.677,0.058,-0.009,2.822,20.087,87,12.062
2485.742,0.051,-0.005,2.822,20.081,87,12.038
2485.806,0.044,-0.002,2.819,20.071,87,12.04
2485.871,0.035,-0.001,2.819,20.065,87,12.054
2485.935,0.031,-0.001,2.818,20.061,87,12.05
2486,0.037,-0.005,2.817,20.059,87,12.014
2486.065,-0.341,-0.011,2.818,20.052,87,11.972
2486.129,0.07,-0.004,2.819,20.047,87,11.944
2486.194,0.088,-0.005,2.817,20.042,87,12.002
2486.258,0.027,-0.001,2.815,20.04,87,12.07
2486.323,0.057,-0.012,2.815,20.035,87,12.08
2486.387,0.046,-0.008,2.814,20.029,87,12.03
2486.452,0.039,-0.003,2.814,20.029,87,12.006
2486.516,0.04,-0.008,2.814,20.037,87,12.002
2486.581,0.034,-0.008,2.813,20.035,87,12.024
2486.645,0.06,0.001,2.812,20.021,87,11.998
2486.71,-0.359,-0.004,2.812,20.003,87,12.01
2486.774,0.094,-0.001,2.809,19.998,86,12.05
2486.839,0.071,0,2.809,19.993,86,12.06
2486.903,0.016,-0.017,2.809,19.993,86,12.004
2486.968,0.041,-0.006,2.809,19.992,86,12.146
2487.032,0.036,-0.008,2.809,19.992,86,12.202
2487.097,0.029,-0.011,2.809,19.99,86,12.282
2487.161,0.033,-0.002,2.809,19.989,86,12.328
2487.226,0.027,-0.006,2.808,19.984,86,12.37
2487.29,-0.375,-0.002,2.807,19.984,86,12.386
2487.355,0.073,-0.003,2.807,19.984,86,12.392
2487.419,0.088,-0.001,2.804,19.983,86,12.396
2487.484,0.079,-0.005,2.805,19.98,86,12.358
2487.548,0.027,-0.009,2.804,19.975,86,12.33
2487.613,0.049,-0.011,2.804,19.973,86,12.28
2487.677,0.048,-0.006,2.804,19.968,86,12.272
2487.742,0.04,-0.011,2.804,19.965,86,12.28
2487.806,0.035,-0.003,2.804,19.963,86,12.35
2487.871,0.037,-0.008,2.804,19.958,86,12.37
2487.935,0.026,-0.002,2.804,19.955,86,12.304
2488,-0.138,0.006,2.804,19.952,86,12.18
2488.065,-0.177,-0.012,2.804,19.948,86,12.17
2488.129,0.079,0,2.804,19.946,86,12.198
2488.194,0.083,0.001,2.802,19.946,86,12.182
2488.258,0.041,-0.003,2.802,19.945,86,12.212
2488.323,0.036,-0.01,2.802,19.943,86,12.242
2488.387,0.04,-0.009,2.799,19.942,86,12.252
2488.452,0.02,-0.004,2.799,19.942,86,12.19
2488.516,0.019,0.002,2.799,19.942,86,12.224
2488.581,0.012,-0.008,2.799,19.945,86,12.228
2488.645,0.019,-0.003,2.799,19.948,86,12.172
2488.71,-0.357,-0.006,2.798,19.954,86,12.174
2488.774,0.058,0.001,2.797,19.961,86,12.158
2488.839,0.071,-0.005,2.797,19.97,86,12.084
2488.903,0.045,-0.003,2.795,19.989,86,12.02
2488.968,0.041,-0.003,2.794,19.998,107,12.042
2489.032,0.035,-0.005,2.794,20.008,107,12.024
2489.097,0.023,-0.007,2.794,20.011,107,12.036
2489.161,0.02,0.002,2.794,20.013,107,12.038
2489.226,0.011,-0.006,2.794,20.02,107,12.014
2489.29,0.022,-0.006,2.794,20.03,107,12.016
2489.355,-0.374,-0.001,2.794,20.034,107,12.028
2489.419,0.073,-0.007,2.794,20.037,107,11.992
2489.484,0.083,-0.006,2.794,20.038,107,11.952
2489.548,0.075,0,2.794,20.039,107,11.91
2489.613,0.024,-0.009,2.794,20.041,107,11.92
2489.677,0.038,-0.014,2.794,20.042,107,11.918
2489.742,0.036,-0.001,2.795,20.044,107,11.972
2489.806,0.029,-0.01,2.797,20.045,107,11.972
2489.871,0.029,-0.011,2.797,20.051,107,12.03
2489.935,0.025,-0.012,2.797,20.052,84,12.068
2490,-0.369,0.001,2.799,20.051,84,12.02
2490.065,0.07,-0.002,2.799,20.05,84,11.984
2490.129,0.107,0.004,2.799,20.046,84,12.024
2490.194,0.11,0.002,2.799,20.044,84,12.038
2490.258,0.056,-0.003,2.799,20.044,84,12.046
2490.323,0.075,-0.009,2.799,20.041,84,12.032
2490.387,0.081,-0.006,2.797,20.039,84,12.086
2490.452,0.075,-0.007,2.799,20.039,84,12.116
2490.516,0.074,-0.006,2.798,20.037,84,12.064
2490.581,0.081,-0.013,2.797,20.037,84,12.046
2490.645,0.075,-0.004,2.797,20.033,84,12.04
2490.71,-0.136,0.003,2.797,20.03,84,12.048
2490.774,-0.082,-0.012,2.797,20.026,84,12.076
2490.839,0.127,-0.005,2.797,20.021,84,12.164
2490.903,0.114,-0.009,2.797,20.011,84,12.176
2490.968,0.049,0.001,2.797,20.004,84,12.212
2491.032,0.047,-0.015,2.797,20.002,84,12.202
2491.097,0.045,-0.005,2.797,20,84,12.198
2491.161,0.039,-0.006,2.795,19.996,84,12.164
2491.226,0.033,-0.003,2.795,19.99,84,12.22
2491.29,0.026,-0.007,2.794,19.985,84,12.252
2491.355,0.021,-0.009,2.794,19.984,84,12.304
2491.419,-0.23,0.008,2.794,19.983,84,12.316
2491.484,-0.035,-0.01,2.794,19.976,84,12.308
2491.548,0.107,-0.006,2.793,19.969,84,12.302
2491.613,0.115,0.002,2.792,19.97,84,12.348
2491.677,0.144,-0.014,2.79,19.966,84,12.346
2491.742,0.182,-0.007,2.789,19.959,84,12.338
2491.806,0.204,-0.005,2.79,19.953,84,12.382
2491.871,0.223,0.006,2.789,19.95,84,12.422
2491.935,0.24,-0.004,2.789,19.947,84,12.456
2492,0.244,-0.005,2.789,19.946,84,12.47
2492.065,0.209,0.004,2.788,19.943,84,12.546
2492.129,-0.078,-0.015,2.787,19.929,84,12.568
2492.194,0.373,0.001,2.785,19.918,84,12.53
2492.258,0.339,0.002,2.784,19.912,84,12.444
2492.323,0.318,-0.012,2.784,19.911,84,12.438
2492.387,0.324,-0.011,2.784,19.906,84,12.304
2492.452,0.313,-0.006,2.784,19.899,84,12.196
2492.516,0.287,-0.003,2.782,19.892,84,12.114
2492.581,0.287,-0.003,2.782,19.892,84,12.046
2492.645,0.27,-0.005,2.779,19.886,84,12.016
2492.71,-0.181,-0.003,2.779,19.878,84,11.984
2492.774,0.235,-0.003,2.779,19.873,80,11.954
2492.839,0.22,-0.002,2.779,19.868,80,11.918
2492.903,0.185,-0.003,2.779,19.866,80,11.938
2492.968,0.099,-0.011,2.778,19.865,80,11.94
2493.032,0.088,-0.011,2.777,19.863,80,11.942
2493.097,0.064,-0.004,2.777,19.862,80,11.87
2493.161,0.045,-0.007,2.775,19.852,80,11.792
2493.226,0.034,-0.007,2.774,19.848,80,11.73
2493.29,0.023,-0.004,2.774,19.844,80,11.744
2493.355,0.047,0,2.774,19.841,80,11.832
2493.419,-0.364,-0.011,2.773,19.839,80,11.87
2493.484,0.088,-0.003,2.772,19.836,80,11.872
2493.548,0.084,0.004,2.772,19.833,80,11.836
2493.613,0.042,-0.002,2.77,19.826,80,11.866
2493.677,0.032,-0.013,2.77,19.824,100,11.852
2493.742,0.054,-0.011,2.769,19.823,100,11.836
2493.806,0.036,-0.002,2.769,19.82,100,11.906
2493.871,0.034,0.001,2.769,19.818,100,12.024
2493.935,0.03,-0.005,2.767,19.816,100,12.13
2494,0.025,-0.008,2.767,19.815,100,12.146
2494.065,-0.336,0.002,2.765,19.81,100,12.264
2494.129,0.031,-0.005,2.764,19.805,100,12.29
2494.194,0.066,0.001,2.764,19.8,100,12.256
2494.258,0.05,-0.005,2.764,19.795,100,12.198
2494.323,-0.022,-0.008,2.764,19.793,88,11.878
2494.387,-0.014,-0.013,2.762,19.793,88,11.594
2494.452,-0.014,-0.01,2.762,19.791,88,11.408
2494.516,-0.032,-0.009,2.762,19.787,88,11.51
2494.581,-0.043,-0.007,2.762,19.784,88,11.664
2494.645,-0.061,-0.01,2.759,19.779,88,11.756
2494.71,-0.062,-0.008,2.759,19.775,88,11.684
2494.774,-0.483,-0.001,2.759,19.773,88,11.712
2494.839,0.024,-0.006,2.759,19.772,88,11.632
2494.903,0.094,0,2.759,19.766,88,11.432
2494.968,0.084,-0.008,2.759,19.764,88,11.33
2495.032,0.11,-0.01,2.758,19.762,88,11.368
2495.097,0.115,-0.005,2.757,19.757,88,11.546
2495.161,0.11,-0.013,2.757,19.752,88,11.774
2495.226,0.085,-0.008,2.757,19.748,88,11.984
2495.29,0.038,-0.005,2.754,19.747,88,12.088
2495.355,0.029,0.001,2.754,19.744,64,12.098
2495.419,-0.406,-0.001,2.754,19.742,64,12.01
2495.484,0.027,0,2.754,19.738,64,11.972
2495.548,-0.002,-0.004,2.754,19.737,64,12.028
2495.613,-0.06,-0.008,2.754,19.738,64,12.064
2495.677,-0.049,-0.008,2.754,19.738,64,12.084
2495.742,-0.063,-0.007,2.754,19.735,64,12.104
2495.806,-0.071,-0.009,2.752,19.728,64,12.14
2495.871,-0.071,-0.009,2.752,19.728,64,12.072
2495.935,-0.067,0.005,2.749,19.724,64,12.024
2496,-0.466,-0.004,2.749,19.718,64,12.048
2496.065,-0.054,-0.01,2.749,19.712,64,12.086
2496.129,-0.067,-0.003,2.749,19.704,64,12.208
2496.194,-0.115,0.003,2.749,19.701,64,12.174
2496.258,-0.115,-0.013,2.749,19.703,64,12.186
2496.323,-0.099,-0.009,2.749,19.706,64,12.214
2496.387,-0.112,-0.005,2.747,19.707,64,12.104
